epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,336.73,0.68472,0.43345,0.9055,0.90766,0.87453,0.93583,0.77566,0.59806,0.38039,0.89396,0.000676802,0.000676802,0.000676802
62,342.012,0.68083,0.43538,0.90715,0.93419,0.84954,0.91057,0.75675,0.60841,0.37896,0.89071,0.000660299,0.000660299,0.000660299
63,347.158,0.67988,0.42192,0.89966,0.96005,0.83148,0.91648,0.73577,0.62983,0.38284,0.91336,0.000643795,0.000643795,0.000643795
64,352.364,0.68005,0.42543,0.89503,0.92169,0.93913,0.94331,0.76336,0.60732,0.37854,0.90494,0.000627292,0.000627292,0.000627292
65,357.648,0.68553,0.42618,0.89941,0.87078,0.93913,0.93095,0.77096,0.60226,0.37163,0.8996,0.000610789,0.000610789,0.000610789
66,362.859,0.65986,0.4168,0.89377,0.93487,0.8407,0.92924,0.77678,0.60395,0.37921,0.89523,0.000594286,0.000594286,0.000594286
67,367.995,0.67292,0.42866,0.89989,0.94854,0.80598,0.92468,0.76227,0.62123,0.38445,0.90474,0.000577782,0.000577782,0.000577782
68,373.192,0.66838,0.42952,0.89849,0.95294,0.79593,0.90934,0.7613,0.59115,0.3828,0.89481,0.000561279,0.000561279,0.000561279
69,378.421,0.67279,0.42106,0.89846,0.87706,0.89581,0.93049,0.77603,0.60298,0.37636,0.89865,0.000544776,0.000544776,0.000544776
70,383.718,0.66779,0.42109,0.89004,0.88712,0.92441,0.93984,0.77628,0.60238,0.38311,0.90173,0.000528272,0.000528272,0.000528272
71,389.116,0.66753,0.4206,0.89741,0.87043,0.90456,0.92238,0.76588,0.60753,0.38307,0.90509,0.000511769,0.000511769,0.000511769
72,394.427,0.66721,0.41549,0.89693,0.86924,0.91698,0.94181,0.78866,0.61271,0.37811,0.90658,0.000495266,0.000495266,0.000495266
73,399.596,0.66462,0.41725,0.89674,0.93271,0.83724,0.92457,0.78044,0.61028,0.37807,0.90447,0.000478762,0.000478762,0.000478762
74,404.886,0.66089,0.41737,0.90419,0.91935,0.86312,0.92028,0.78444,0.59229,0.37218,0.89854,0.000462259,0.000462259,0.000462259
75,410.044,0.65365,0.4189,0.90744,0.89911,0.88517,0.94859,0.80296,0.58697,0.36523,0.8953,0.000445756,0.000445756,0.000445756
76,415.569,0.65571,0.40938,0.88481,0.92624,0.89581,0.94373,0.77584,0.61256,0.37476,0.90183,0.000429253,0.000429253,0.000429253
77,420.794,0.66546,0.41284,0.89648,0.89013,0.90452,0.93404,0.7818,0.5919,0.3645,0.89352,0.000412749,0.000412749,0.000412749
78,425.874,0.66026,0.41473,0.89571,0.88669,0.87453,0.91647,0.76775,0.59413,0.37153,0.89785,0.000396246,0.000396246,0.000396246
79,431.173,0.65681,0.41875,0.90049,0.88036,0.91708,0.92497,0.78065,0.59255,0.36289,0.89646,0.000379743,0.000379743,0.000379743
80,436.291,0.66061,0.40992,0.8916,0.91233,0.88517,0.92398,0.78204,0.59314,0.36661,0.8968,0.000363239,0.000363239,0.000363239
81,441.319,0.65125,0.40277,0.88737,0.93205,0.88517,0.94458,0.80321,0.57964,0.3579,0.8961,0.000346736,0.000346736,0.000346736
82,446.733,0.64008,0.40325,0.8963,0.9243,0.89581,0.9279,0.77981,0.57951,0.35988,0.89477,0.000330233,0.000330233,0.000330233
83,451.752,0.63557,0.39929,0.89443,0.93079,0.90302,0.92948,0.78964,0.59238,0.36444,0.89524,0.000313729,0.000313729,0.000313729
84,456.746,0.65241,0.4088,0.89467,0.94484,0.94516,0.95728,0.80583,0.59119,0.36638,0.89827,0.000297226,0.000297226,0.000297226
85,462.398,0.64247,0.40863,0.88523,0.92111,0.9301,0.94684,0.80111,0.58894,0.36764,0.8944,0.000280723,0.000280723,0.000280723
86,467.379,0.63634,0.40953,0.89189,0.9316,0.92199,0.94983,0.77914,0.59001,0.35966,0.89755,0.00026422,0.00026422,0.00026422
87,472.332,0.6441,0.40822,0.8957,0.94402,0.88859,0.9193,0.77468,0.58711,0.35967,0.89351,0.000247716,0.000247716,0.000247716
88,477.276,0.64269,0.40407,0.89682,0.92884,0.89126,0.93115,0.78193,0.58476,0.35769,0.89483,0.000231213,0.000231213,0.000231213
89,482.426,0.63588,0.39428,0.89323,0.91365,0.93243,0.95672,0.80598,0.58854,0.3597,0.89507,0.00021471,0.00021471,0.00021471
90,487.686,0.62722,0.39424,0.8863,0.91992,0.93836,0.95837,0.80203,0.5869,0.35126,0.89566,0.000198206,0.000198206,0.000198206
91,561.056,0.60826,0.39005,0.91046,0.93064,0.918,0.94667,0.80042,0.57683,0.35369,0.89161,0.000181703,0.000181703,0.000181703
92,566.427,0.62272,0.39036,0.91446,0.93589,0.91565,0.9504,0.80467,0.58343,0.35535,0.89858,0.0001652,0.0001652,0.0001652
93,571.738,0.60748,0.37723,0.90376,0.9271,0.91219,0.94676,0.80144,0.58666,0.36059,0.8985,0.000148696,0.000148696,0.000148696
94,577.004,0.60389,0.37923,0.90952,0.92702,0.92643,0.94786,0.81519,0.5753,0.35341,0.89292,0.000132193,0.000132193,0.000132193
95,582.525,0.61288,0.38344,0.90421,0.95784,0.88916,0.958,0.8252,0.56903,0.35477,0.89048,0.00011569,0.00011569,0.00011569
96,588.007,0.60946,0.37349,0.90977,0.8965,0.91605,0.93737,0.79902,0.57272,0.3533,0.89188,9.91865e-05,9.91865e-05,9.91865e-05
97,593.07,0.60011,0.37249,0.89985,0.93625,0.8726,0.91947,0.78536,0.57088,0.3512,0.8886,8.26832e-05,8.26832e-05,8.26832e-05
98,598.142,0.59893,0.36918,0.89609,0.92758,0.87376,0.92061,0.77685,0.57278,0.3507,0.88936,6.61799e-05,6.61799e-05,6.61799e-05
99,603.447,0.59142,0.37045,0.90249,0.89607,0.90645,0.92137,0.78396,0.57101,0.35009,0.89032,4.96766e-05,4.96766e-05,4.96766e-05
100,608.545,0.5794,0.36071,0.89641,0.90554,0.91211,0.92424,0.78381,0.57202,0.34963,0.89042,3.31733e-05,3.31733e-05,3.31733e-05
